deal_id,customer_id,deal_name,amount,deal_stage,start_date,end_date,plan_type,created_date,closed_date
d000001,cu00756,Evolve Front-End Paradigms,4442.84,Won,12/3/2020,5/14/2023,Enterprise,11/9/2020,6/11/2024
d000002,cu09715,Strategize Intuitive Metrics,2040.33,In Progress,7/18/2022,1/16/2019,Free,6/22/2019,8/22/2025
d000003,cu03786,Implement Intuitive Web-Readiness,8406.94,Lost,5/10/2024,10/20/2023,Pro,5/7/2017,4/22/2023
d000004,cu07843,Incentivize Scalable E-Tailers,3646.94,Won,7/2/2020,12/21/2020,Basic,10/29/2018,3/8/2018
d000005,cu00521,Engage Extensible Functionalities,7595.33,In Progress,2/12/2024,7/8/2023,Free,1/20/2021,3/11/2024
d000006,cu04361,Harness User-Centric Niches,7185.35,Lost,2/19/2018,12/22/2022,Enterprise,3/31/2019,12/13/2018
d000007,cu06195,Enhance Front-End Eyeballs,8705.09,Lost,4/25/2024,1/23/2024,Basic,1/26/2019,5/29/2019
d000008,cu04353,Envisioneer B2B Applications,9954.44,Won,2/5/2024,5/26/2023,Enterprise,8/3/2024,5/28/2020
d000009,cu00806,Productize B2B Deliverables,5022.86,Lost,7/13/2021,3/26/2023,Basic,11/4/2023,7/8/2022
d000010,cu08974,Syndicate Turn-Key Functionalities,1469.79,In Progress,5/4/2022,5/3/2022,Enterprise,4/9/2019,3/19/2020
d000011,cu02272,Implement Transparent Niches,192.24,Won,6/1/2023,9/12/2021,Basic,11/1/2019,5/15/2023
d000012,cu09207,Iterate Open-Source Convergence,6840.13,In Progress,10/9/2023,8/31/2023,Free,4/30/2017,5/14/2021
d000013,cu00101,Enhance Bleeding-Edge Eyeballs,4413.59,Lost,10/13/2022,6/16/2025,Pro,7/31/2018,4/23/2025
d000014,cu08829,Mesh Proactive Paradigms,497.08,In Progress,6/21/2024,12/23/2024,Pro,5/18/2017,6/7/2021
d000015,cu03985,Expedite Open-Source Eyeballs,4820.96,Lost,1/13/2024,7/10/2023,Basic,1/31/2018,2/24/2020
d000016,cu06016,Utilize Dot-Com Roi,2045.94,Lost,4/1/2023,12/31/2021,Free,2/26/2024,1/9/2020
d000017,cu00260,Engineer B2C Partnerships,4747.01,Won,5/4/2024,6/13/2021,Basic,7/23/2023,3/11/2019
d000018,cu03820,Monetize Dynamic Applications,6022.42,Won,3/14/2023,2/7/2024,Basic,3/21/2022,2/26/2022
d000019,cu02413,Incubate 24/7 Initiatives,6691.83,In Progress,11/24/2022,1/28/2023,Pro,1/19/2019,6/4/2025
d000020,cu07707,Iterate Real-Time Markets,3889.94,In Progress,6/10/2022,11/10/2022,Enterprise,1/8/2023,5/24/2023
d000021,cu03403,Implement Innovative Deliverables,6995.17,In Progress,2/24/2021,12/26/2021,Pro,8/17/2021,2/3/2020
d000022,cu04304,Engage Magnetic Functionalities,7301.06,In Progress,8/15/2024,1/20/2023,Free,8/12/2022,3/1/2020
d000023,cu09422,Transition Scalable Systems,4470.71,Lost,6/24/2022,12/6/2023,Basic,3/14/2023,1/5/2022
d000024,cu06000,Expedite B2C E-Tailers,5815.4,In Progress,6/27/2020,8/27/2022,Enterprise,5/13/2019,2/4/2021
