ad_id,content_id,ad_type,revenue_amount,currency,revenue_date
1,42724,Display,14.99,USD,2023-06-15
2,8850,Overlay,6.83,USD,2023-10-29
3,184,Overlay,7.14,USD,2024-03-02
4,42736,Pre-roll,32.79,USD,2024-10-17
5,20402,Display,24.41,USD,2023-01-06
6,3100,Overlay,9.28,USD,2024-08-26
7,7427,Pre-roll,18.53,USD,2024-02-07
8,4359,Mid-roll,40.4,USD,2024-02-16
9,31980,Pre-roll,22.15,USD,2023-08-15
10,37654,Display,6.83,USD,2023-08-31
11,15601,Overlay,32.65,USD,2024-10-26
12,23282,Mid-roll,22.96,USD,2023-02-27
13,44124,Pre-roll,14.37,USD,2024-12-15
14,5290,Pre-roll,47.55,USD,2024-07-30
15,8491,Mid-roll,5.51,USD,2023-04-23
16,20604,Pre-roll,24.83,USD,2023-03-03
17,20778,Pre-roll,2.39,USD,2023-07-03
18,41585,Display,5.02,USD,2024-04-18
19,39923,Mid-roll,27.23,USD,2024-06-09
20,44634,Mid-roll,10.21,USD,2023-04-13
21,45436,Pre-roll,40.78,USD,2024-07-28
22,22119,Display,17.24,USD,2024-04-10
23,37261,Pre-roll,32.75,USD,2024-01-26
24,6118,Overlay,22.72,USD,2024-04-12
25,16532,Mid-roll,20.18,USD,2024-02-28
26,35425,Pre-roll,11.3,USD,2024-08-03
27,43637,Overlay,28.55,USD,2023-04-16
28,29876,Pre-roll,33.14,USD,2023-06-21
29,7515,Overlay,44.84,USD,2023-01-16
30,37045,Display,37.14,USD,2023-12-19
31,47586,Display,37.98,USD,2024-07-16
32,11951,Pre-roll,17.0,USD,2023-04-13
33,45404,Overlay,32.0,USD,2023-08-16
34,21926,Mid-roll,0.88,USD,2024-04-29
35,11507,Mid-roll,35.07,USD,2024-06-22
36,37097,Overlay,1.26,USD,2023-04-05
37,4619,Pre-roll,22.55,USD,2024-02-05
38,26302,Overlay,33.65,USD,2023-07-27
39,28536,Pre-roll,12.95,USD,2023-08-11
40,14392,Overlay,30.7,USD,2023-06-17
41,32776,Pre-roll,31.87,USD,2024-11-07
42,13807,Overlay,44.04,USD,2023-05-12
43,2900,Pre-roll,32.52,USD,2024-05-05
44,9778,Display,18.64,USD,2023-05-10
45,29823,Overlay,24.25,USD,2024-09-17
46,36081,Pre-roll,3.22,USD,2023-01-30
47,45733,Overlay,4.36,USD,2023-03-29
48,41220,Mid-roll,7.51,USD,2023-06-08
49,1404,Pre-roll,22.45,USD,2024-11-13
50,4559,Display,36.47,USD,2023-11-10
51,27189,Mid-roll,42.99,USD,2024-08-12
52,10949,Overlay,14.82,USD,2023-12-14
53,13680,Pre-roll,39.29,USD,2023-09-01
54,30726,Mid-roll,49.13,USD,2024-07-07
55,38622,Overlay,8.45,USD,2023-08-09
56,16638,Mid-roll,44.58,USD,2024-09-08
57,2142,Overlay,2.91,USD,2024-07-30
58,30991,Display,35.82,USD,2024-03-03
59,30220,Overlay,33.32,USD,2023-12-12
60,26174,Mid-roll,30.35,USD,2023-07-25
61,39526,Display,18.93,USD,2023-08-01
62,10310,Pre-roll,1.07,USD,2023-02-11
63,8760,Mid-roll,12.86,USD,2024-05-28
64,14518,Display,45.06,USD,2023-02-06
65,31803,Overlay,47.41,USD,2024-05-28
66,22045,Display,6.35,USD,2023-11-06
67,35132,Display,43.87,USD,2023-09-22
68,11906,Pre-roll,10.46,USD,2024-05-11
69,4779,Mid-roll,26.95,USD,2024-10-30
70,12133,Overlay,44.15,USD,2024-09-07
71,26880,Overlay,39.08,USD,2024-12-18
72,8311,Pre-roll,41.48,USD,2023-07-23
73,41507,Overlay,24.09,USD,2024-01-07
74,18917,Display,38.46,USD,2024-10-17
75,33869,Display,5.18,USD,2024-06-04
76,40704,Pre-roll,3.3,USD,2024-05-02
77,27454,Display,20.02,USD,2023-07-19
78,39039,Pre-roll,47.59,USD,2023-11-30
79,39841,Display,28.02,USD,2024-01-06
80,34630,Overlay,27.39,USD,2023-06-18
81,12382,Pre-roll,41.75,USD,2023-01-28
82,45328,Display,6.64,USD,2023-07-28
83,38375,Display,40.04,USD,2023-09-15
84,7029,Mid-roll,3.3,USD,2023-04-03
85,45985,Pre-roll,34.08,USD,2023-09-17
86,2453,Mid-roll,2.61,USD,2024-07-03
87,45247,Pre-roll,20.91,USD,2023-09-27
88,3800,Display,3.56,USD,2024-07-09
89,11976,Mid-roll,12.62,USD,2024-12-18
90,29447,Pre-roll,0.57,USD,2024-10-31
91,46809,Pre-roll,14.52,USD,2023-01-19
92,41010,Mid-roll,47.04,USD,2024-02-27
93,32705,Overlay,25.63,USD,2023-09-04
94,48250,Display,15.02,USD,2024-08-13
95,49164,Pre-roll,38.73,USD,2023-07-01
96,49016,Mid-roll,13.73,USD,2023-08-26
97,28164,Overlay,13.04,USD,2024-08-17
98,18599,Overlay,44.74,USD,2024-03-28
99,25767,Display,39.51,USD,2023-12-26
100,32471,Pre-roll,4.67,USD,2023-08-04
101,30009,Overlay,43.83,USD,2023-09-18
102,46901,Mid-roll,16.83,USD,2023-07-17
103,21081,Pre-roll,7.04,USD,2023-04-25
104,43185,Display,21.32,USD,2024-01-08
105,18771,Pre-roll,20.67,USD,2023-11-24
106,9461,Mid-roll,13.3,USD,2024-10-01
107,29006,Display,43.47,USD,2024-04-19
108,34434,Display,11.14,USD,2023-12-08
109,40507,Overlay,25.54,USD,2024-09-13
110,14117,Pre-roll,43.74,USD,2024-04-05
111,25840,Pre-roll,40.9,USD,2023-02-12
112,23894,Overlay,18.38,USD,2023-05-14
113,31342,Overlay,42.18,USD,2023-04-12
114,18630,Pre-roll,6.65,USD,2024-08-11
115,3807,Display,40.8,USD,2023-07-21
116,44013,Overlay,42.34,USD,2024-04-18
117,24556,Pre-roll,23.13,USD,2023-06-17
118,29159,Overlay,44.51,USD,2024-06-27
119,46680,Pre-roll,47.85,USD,2023-10-02
120,31867,Overlay,5.09,USD,2023-05-25
121,40067,Display,4.43,USD,2023-10-22
122,18918,Display,6.42,USD,2024-11-26
123,49426,Pre-roll,21.51,USD,2023-04-05
124,16045,Mid-roll,27.13,USD,2023-04-09
125,13754,Mid-roll,17.43,USD,2023-10-11
126,34397,Pre-roll,37.37,USD,2023-03-06
127,41897,Display,22.94,USD,2024-05-20
128,29489,Mid-roll,11.68,USD,2024-03-27
129,41613,Overlay,47.98,USD,2024-09-28
130,38458,Display,15.55,USD,2024-12-01
131,11174,Overlay,35.64,USD,2023-02-02
132,10314,Mid-roll,26.42,USD,2024-08-18
133,25761,Mid-roll,24.92,USD,2024-08-18
134,42471,Pre-roll,5.48,USD,2024-08-27
135,16402,Pre-roll,30.2,USD,2024-10-23
136,30197,Display,5.9,USD,2023-08-20
137,36066,Mid-roll,27.98,USD,2023-12-09
138,47055,Mid-roll,32.04,USD,2023-07-29
139,7830,Mid-roll,39.67,USD,2024-06-25
140,32045,Overlay,4.37,USD,2023-02-28
141,243,Pre-roll,42.5,USD,2024-05-15
142,13547,Mid-roll,26.13,USD,2024-06-02
143,16828,Pre-roll,12.73,USD,2023-05-13
144,11783,Mid-roll,4.87,USD,2023-01-18
145,43688,Display,31.88,USD,2023-10-26
146,37100,Mid-roll,32.68,USD,2023-09-30
147,38461,Pre-roll,6.32,USD,2023-06-16
148,748,Overlay,37.11,USD,2023-04-16
149,30291,Pre-roll,43.4,USD,2024-07-02
150,13143,Overlay,11.38,USD,2023-10-07
151,11355,Display,49.55,USD,2024-07-30
152,8031,Overlay,22.58,USD,2024-07-19
153,27074,Pre-roll,23.49,USD,2023-02-08
154,21815,Mid-roll,14.96,USD,2024-06-18
155,31935,Pre-roll,15.25,USD,2023-07-26
156,36229,Overlay,5.04,USD,2023-03-25
157,32964,Display,48.72,USD,2024-09-17
158,27666,Overlay,37.58,USD,2024-09-03
159,22198,Display,46.35,USD,2024-04-27
160,3243,Overlay,6.91,USD,2024-01-18
161,24431,Pre-roll,43.73,USD,2024-11-20
162,10794,Mid-roll,40.53,USD,2023-10-28
163,8733,Display,12.67,USD,2024-01-17
164,4526,Mid-roll,26.2,USD,2024-11-13
165,47920,Pre-roll,1.29,USD,2023-07-08
166,23308,Pre-roll,4.35,USD,2024-08-15
167,8537,Overlay,6.58,USD,2023-04-11
168,12585,Overlay,49.57,USD,2023-06-22
169,47608,Pre-roll,33.48,USD,2024-12-16
170,10635,Display,27.02,USD,2023-08-03
171,22447,Pre-roll,15.99,USD,2024-03-31
172,48596,Display,14.24,USD,2024-12-10
173,10707,Overlay,3.61,USD,2024-08-07
174,29248,Mid-roll,38.95,USD,2024-10-26
175,18356,Mid-roll,40.4,USD,2023-04-04
176,7872,Mid-roll,42.58,USD,2024-10-10
177,43368,Pre-roll,2.42,USD,2023-12-08
178,14962,Pre-roll,8.64,USD,2024-10-10
179,22506,Pre-roll,20.18,USD,2024-12-30
180,48479,Display,21.47,USD,2024-06-07
181,9961,Pre-roll,13.39,USD,2024-09-16
182,41799,Display,37.63,USD,2023-08-27
183,48792,Display,4.61,USD,2024-09-08
184,32017,Mid-roll,31.6,USD,2023-07-20
185,4622,Mid-roll,34.63,USD,2024-07-02
186,24565,Display,48.96,USD,2023-02-28
187,34119,Display,14.71,USD,2024-12-24
188,37723,Pre-roll,14.73,USD,2023-04-23
189,3446,Mid-roll,41.88,USD,2023-01-20
190,29085,Mid-roll,25.9,USD,2024-12-27
191,22857,Display,27.9,USD,2024-04-10
192,30430,Pre-roll,30.92,USD,2024-09-04
193,31886,Overlay,32.2,USD,2024-07-11
194,46096,Overlay,48.02,USD,2023-05-27
195,28583,Pre-roll,6.61,USD,2023-10-18
196,23186,Display,35.1,USD,2023-11-23
197,36438,Pre-roll,2.39,USD,2024-10-26
198,32263,Display,28.36,USD,2024-06-01
199,3532,Overlay,12.6,USD,2024-02-09
200,526,Overlay,48.44,USD,2023-01-03
201,24190,Mid-roll,35.28,USD,2023-08-20
202,30160,Mid-roll,37.21,USD,2024-08-13
203,48729,Overlay,9.29,USD,2023-09-02
204,8344,Overlay,9.97,USD,2024-07-11
