content_id,channel_name,title,upload_date,duration_seconds,category
1,MusicVibes,Video 1,2023-04-13,2217,Music
2,FitnessHub,Video 2,2024-03-11,3122,Fitness
3,FoodieWorld,Video 3,2023-09-28,1888,Fitness
4,MusicVibes,Video 4,2023-04-17,2401,Food
5,FoodieWorld,Video 5,2023-03-13,1347,Fitness
6,EduLearn,Video 6,2024-12-01,2438,Music
7,TechExplained,Video 7,2023-01-21,2531,Food
8,EduLearn,Video 8,2024-09-06,2386,Music
9,TechExplained,Video 9,2023-05-02,2331,Fitness
10,FitnessHub,Video 10,2024-04-11,2280,Fitness
11,MusicVibes,Video 11,2023-08-03,3260,Food
12,FitnessHub,Video 12,2023-11-27,3115,Tech
13,TechExplained,Video 13,2024-04-03,305,Food
14,EduLearn,Video 14,2023-03-29,2628,Tech
15,TechExplained,Video 15,2024-01-08,2403,Tech
16,FitnessHub,Video 16,2023-04-10,2263,Food
17,FitnessHub,Video 17,2024-10-25,668,Fitness
18,EduLearn,Video 18,2023-05-11,411,Music
19,EduLearn,Video 19,2024-10-23,352,Fitness
20,FitnessHub,Video 20,2023-11-05,3586,Tech
21,TechExplained,Video 21,2023-12-10,3405,Education
22,TechExplained,Video 22,2024-05-06,3243,Music
23,MusicVibes,Video 23,2024-02-18,775,Fitness
24,FitnessHub,Video 24,2024-01-21,3583,Education
25,MusicVibes,Video 25,2023-07-11,136,Education
26,FitnessHub,Video 26,2023-10-04,1670,Music
27,MusicVibes,Video 27,2023-06-10,139,Tech
28,FoodieWorld,Video 28,2024-04-04,3209,Education
29,TechExplained,Video 29,2023-11-10,971,Education
30,TechExplained,Video 30,2023-01-22,495,Music
31,FoodieWorld,Video 31,2023-09-10,3320,Food
32,EduLearn,Video 32,2024-07-14,1876,Music
33,FoodieWorld,Video 33,2024-04-19,94,Tech
34,TechExplained,Video 34,2023-02-28,642,Fitness
35,FitnessHub,Video 35,2024-05-25,271,Fitness
36,MusicVibes,Video 36,2024-11-12,342,Education
37,TechExplained,Video 37,2024-04-20,2840,Education
38,FoodieWorld,Video 38,2024-11-30,2245,Education
39,FitnessHub,Video 39,2023-07-09,646,Fitness
40,TechExplained,Video 40,2024-11-17,3023,Fitness
41,FoodieWorld,Video 41,2024-07-16,1756,Tech
42,TechExplained,Video 42,2024-07-20,1830,Food
43,FoodieWorld,Video 43,2023-09-01,544,Food
44,FoodieWorld,Video 44,2024-05-19,2865,Education
45,TechExplained,Video 45,2023-05-11,3336,Tech
46,FitnessHub,Video 46,2024-04-29,3467,Food
47,TechExplained,Video 47,2024-10-08,2560,Education
48,TechExplained,Video 48,2023-01-21,2593,Food
49,FitnessHub,Video 49,2023-06-16,894,Food
50,TechExplained,Video 50,2023-10-01,2806,Fitness
51,MusicVibes,Video 51,2024-01-23,2107,Tech
52,MusicVibes,Video 52,2024-08-23,1520,Fitness
53,MusicVibes,Video 53,2023-11-12,2529,Education
54,FoodieWorld,Video 54,2023-01-14,1221,Food
55,EduLearn,Video 55,2023-08-30,65,Fitness
56,TechExplained,Video 56,2023-12-12,3344,Fitness
57,EduLearn,Video 57,2024-07-18,3226,Fitness
58,MusicVibes,Video 58,2023-12-06,3037,Food
59,FitnessHub,Video 59,2023-04-02,2668,Food
60,MusicVibes,Video 60,2024-01-02,1883,Education
61,TechExplained,Video 61,2024-03-30,344,Fitness
62,EduLearn,Video 62,2024-03-03,437,Food
63,EduLearn,Video 63,2024-05-23,2609,Education
64,FoodieWorld,Video 64,2023-02-04,2556,Education
65,FitnessHub,Video 65,2023-07-25,2524,Fitness
66,MusicVibes,Video 66,2023-03-22,801,Education
67,FitnessHub,Video 67,2024-07-15,844,Music
68,TechExplained,Video 68,2024-01-23,3229,Tech
69,FoodieWorld,Video 69,2023-01-02,620,Education
