content_id,channel_name,title,upload_date,duration_seconds,category
1,MusicVibes,Video 1,4/13/2023,2217,Music
2,FitnessHub,Video 2,3/11/2024,3122,Fitness
3,FoodieWorld,Video 3,9/28/2023,1888,Fitness
4,MusicVibes,Video 4,4/17/2023,2401,Food
5,FoodieWorld,Video 5,3/13/2023,1347,Fitness
6,EduLearn,Video 6,12/1/2024,2438,Music
7,TechExplained,Video 7,1/21/2023,2531,Food
8,EduLearn,Video 8,9/6/2024,2386,Music
9,TechExplained,Video 9,5/2/2023,2331,Fitness
10,FitnessHub,Video 10,4/11/2024,2280,Fitness
11,MusicVibes,Video 11,8/3/2023,3260,Food
12,FitnessHub,Video 12,11/27/2023,3115,Tech
13,TechExplained,Video 13,4/3/2024,305,Food
14,EduLearn,Video 14,3/29/2023,2628,Tech
15,TechExplained,Video 15,1/8/2024,2403,Tech
16,FitnessHub,Video 16,4/10/2023,2263,Food
17,FitnessHub,Video 17,10/25/2024,668,Fitness
18,EduLearn,Video 18,5/11/2023,411,Music
19,EduLearn,Video 19,10/23/2024,352,Fitness
20,FitnessHub,Video 20,11/5/2023,3586,Tech
21,TechExplained,Video 21,12/10/2023,3405,Education
22,TechExplained,Video 22,5/6/2024,3243,Music
23,MusicVibes,Video 23,2/18/2024,775,Fitness
24,FitnessHub,Video 24,1/21/2024,3583,Education
25,MusicVibes,Video 25,7/11/2023,136,Education
26,FitnessHub,Video 26,10/4/2023,1670,Music
27,MusicVibes,Video 27,6/10/2023,139,Tech
28,FoodieWorld,Video 28,4/4/2024,3209,Education
29,TechExplained,Video 29,11/10/2023,971,Education
30,TechExplained,Video 30,1/22/2023,495,Music
31,FoodieWorld,Video 31,9/10/2023,3320,Food
32,EduLearn,Video 32,7/14/2024,1876,Music
33,FoodieWorld,Video 33,4/19/2024,94,Tech
34,TechExplained,Video 34,2/28/2023,642,Fitness
35,FitnessHub,Video 35,5/25/2024,271,Fitness
36,MusicVibes,Video 36,11/12/2024,342,Education
37,TechExplained,Video 37,4/20/2024,2840,Education
38,FoodieWorld,Video 38,11/30/2024,2245,Education
39,FitnessHub,Video 39,7/9/2023,646,Fitness
40,TechExplained,Video 40,11/17/2024,3023,Fitness
41,FoodieWorld,Video 41,7/16/2024,1756,Tech
42,TechExplained,Video 42,7/20/2024,1830,Food
43,FoodieWorld,Video 43,9/1/2023,544,Food
44,FoodieWorld,Video 44,5/19/2024,2865,Education
45,TechExplained,Video 45,5/11/2023,3336,Tech
46,FitnessHub,Video 46,4/29/2024,3467,Food
47,TechExplained,Video 47,10/8/2024,2560,Education
48,TechExplained,Video 48,1/21/2023,2593,Food
49,FitnessHub,Video 49,6/16/2023,894,Food
50,TechExplained,Video 50,10/1/2023,2806,Fitness
51,MusicVibes,Video 51,1/23/2024,2107,Tech
52,MusicVibes,Video 52,8/23/2024,1520,Fitness
53,MusicVibes,Video 53,11/12/2023,2529,Education
54,FoodieWorld,Video 54,1/14/2023,1221,Food
55,EduLearn,Video 55,8/30/2023,65,Fitness
56,TechExplained,Video 56,12/12/2023,3344,Fitness
57,EduLearn,Video 57,7/18/2024,3226,Fitness
58,MusicVibes,Video 58,12/6/2023,3037,Food
59,FitnessHub,Video 59,4/2/2023,2668,Food
60,MusicVibes,Video 60,1/2/2024,1883,Education
61,TechExplained,Video 61,3/30/2024,344,Fitness
62,EduLearn,Video 62,3/3/2024,437,Food
63,EduLearn,Video 63,5/23/2024,2609,Education
64,FoodieWorld,Video 64,2/4/2023,2556,Education
65,FitnessHub,Video 65,7/25/2023,2524,Fitness
66,MusicVibes,Video 66,3/22/2023,801,Education
67,FitnessHub,Video 67,7/15/2024,844,Music
68,TechExplained,Video 68,1/23/2024,3229,Tech
69,FoodieWorld,Video 69,1/2/2023,620,Education
70,MusicVibes,Video 70,1/25/2024,2242,Tech
71,TechExplained,Video 71,7/19/2024,1823,Education
